state_code,district_code,district_name,confirmed_cases,deceased_cases,recovered_cases,active_cases,population,delta_confirmed,delta_deceased,delta_recovered,delta_confirmed_7,delta_deceased_7,delta_recovered_7
PB,Ferozepur,,14347,504,13832,11,2026831,4,0,3,13,0,9
PB,Gurdaspur,,22381,801,21576,4,2299026,0,0,0,3,1,3
PB,Hoshiarpur,,30822,986,29828,8,1582793,2,1,2,10,2,12
PB,Jalandhar,,63396,1496,61864,36,2181753,1,0,1,20,1,12
PB,Kapurthala,,17852,556,17294,2,817668,0,0,0,2,0,7
PB,Ludhiana,,87608,2106,85484,18,3487882,0,0,4,16,1,24
PB,Mansa,,15606,380,15226,0,768808,0,0,0,0,0,1
PB,Moga,,8675,233,8440,2,992289,0,0,0,1,0,8
PB,Pathankot,,18814,419,18373,22,626154,6,0,1,20,0,7
PB,Patiala,,48927,1358,47561,8,2892282,0,0,2,6,0,15
PB,Rupnagar,,12963,423,12517,23,683349,2,0,3,20,0,7
PB,S.A.S. Nagar,,68821,1068,67726,27,986147,3,0,5,18,0,21
PB,Sangrur,,15762,875,14884,3,1654408,1,0,1,3,0,3
PB,Shahid Bhagat Singh Nagar,,11469,388,11080,1,614362,0,0,0,1,0,1
PB,Sri Muktsar Sahib,,18784,524,18257,3,902702,0,0,0,2,0,0
PB,Tarn Taran,,8043,380,7659,4,1120070,0,0,0,0,0,3
PY,Karaikal,,16488,250,16150,88,200222,6,0,9,53,0,63
PY,Mahe,,5867,47,5744,76,41816,10,0,10,58,0,46
PY,Puducherry,,98885,1453,97171,261,950289,22,0,25,163,0,202
PY,Yanam,,6773,107,6661,5,55626,0,0,1,4,0,4
RJ,Ajmer,,37769,410,37352,7,2584913,0,0,0,6,0,8
RJ,Alwar,,59694,307,59387,0,3671999,0,0,0,0,0,0
RJ,BSF Camp,,85,0,85,0,0,0,0,0,0,0,0
RJ,Banswara,,10005,104,9901,0,1798194,0,0,0,0,0,0
RJ,Baran,,11996,61,11934,1,1223921,0,0,0,1,0,0
RJ,Barmer,,15563,185,15377,1,2604453,0,0,0,1,0,0
RJ,Bharatpur,,19601,260,19341,0,2549121,0,0,0,0,0,0
RJ,Bhilwara,,29781,156,29625,0,2410459,0,0,0,0,0,0
RJ,Bikaner,,40339,545,39792,2,2367745,0,0,1,2,0,1
RJ,Bundi,,7967,48,7919,0,1113725,0,0,0,0,0,0
RJ,Chittorgarh,,19809,139,19670,0,1544392,0,0,0,0,0,0
RJ,Churu,,16720,107,16613,0,2041172,0,0,0,0,0,0
RJ,Dausa,,13351,62,13289,0,1637226,0,0,0,0,0,0
RJ,Dholpur,,11010,48,10962,0,1207293,0,0,1,0,0,2
RJ,Dungarpur,,18407,131,18276,0,1388906,0,0,0,0,0,0
RJ,Evacuees,,61,0,61,0,0,0,0,0,0,0,0
RJ,Ganganagar,,19354,150,19203,1,1969520,0,0,0,1,0,0
RJ,Hanumangarh,,16053,111,15942,0,1779650,0,0,0,0,0,0
RJ,Italians,,2,0,2,0,0,0,0,0,0,0,0
RJ,Jaipur,,187804,1970,185816,18,6663971,2,0,0,16,0,9
RJ,Jaisalmer,,13639,66,13573,0,672008,0,0,0,0,0,0
RJ,Jalore,,10067,72,9995,0,1830151,0,0,0,0,0,0
RJ,Jhalawar,,13612,187,13425,0,1411327,0,0,0,0,0,0
RJ,Jhunjhunu,,14811,158,14653,0,2139658,0,0,0,0,0,0
RJ,Jodhpur,,112412,1103,111308,1,3685681,0,0,0,0,0,3
RJ,Karauli,,7156,70,7086,0,1458459,0,0,0,0,0,0
RJ,Kota,,57053,449,56603,1,1950491,0,0,0,0,0,0
RJ,Nagaur,,17737,177,17560,0,3309234,0,0,0,0,0,0
RJ,Other State,,189,39,150,0,0,0,0,0,0,0,0
RJ,Pali,,27324,287,27037,0,2038533,0,0,0,0,0,1
RJ,Pratapgarh,,7143,63,7080,0,868231,0,0,0,0,0,0
RJ,Rajsamand,,17044,169,16875,0,1158283,0,0,0,0,0,0
RJ,Sawai Madhopur,,10618,61,10557,0,1338114,0,0,0,0,0,2
RJ,Sikar,,30618,335,30283,0,2677737,0,0,0,0,0,0
RJ,Sirohi,,13732,79,13653,0,1037185,0,0,0,0,0,0
RJ,Tonk,,9498,92,9406,0,1421711,0,0,0,0,0,0
RJ,Udaipur,,56405,753,55652,0,3067549,0,0,0,0,0,0
SK,East Sikkim,,0,0,0,0,281293,0,0,0,0,0,0
SK,North Sikkim,,0,0,0,0,43354,0,0,0,0,0,0
SK,South Sikkim,,0,0,0,0,146742,0,0,0,0,0,0
SK,Unknown,,31979,396,31063,520,0,21,1,8,79,2,76
SK,West Sikkim,,0,0,0,0,136299,0,0,0,0,0,0
TG,Adilabad,,0,0,0,0,708952,0,0,0,0,0,0
TG,Bhadradri Kothagudem,,0,0,0,0,1304811,0,0,0,0,0,0
TG,Hyderabad,,0,0,0,0,3441992,0,0,0,0,0,0
TG,Jagtial,,0,0,0,0,983414,0,0,0,0,0,0
TG,Jangaon,,0,0,0,0,582457,0,0,0,0,0,0
TG,Jayashankar Bhupalapally,,0,0,0,0,712257,0,0,0,0,0,0
TG,Jogulamba Gadwal,,0,0,0,0,664971,0,0,0,0,0,0
TG,Kamareddy,,0,0,0,0,972625,0,0,0,0,0,0
TG,Karimnagar,,0,0,0,0,1016063,0,0,0,0,0,0
TG,Khammam,,0,0,0,0,1401639,0,0,0,0,0,0
TG,Komaram Bheem,,0,0,0,0,515835,0,0,0,0,0,0
TG,Mahabubabad,,0,0,0,0,1318110,0,0,0,0,0,0
TG,Mahabubnagar,,0,0,0,0,0,0,0,0,0,0,0
TG,Mancherial,,0,0,0,0,807037,0,0,0,0,0,0
TG,Medak,,0,0,0,0,767428,0,0,0,0,0,0
TG,Medchal Malkajgiri,,0,0,0,0,2542203,0,0,0,0,0,0
TG,Mulugu,,0,0,0,0,294671,0,0,0,0,0,0
TG,Nagarkurnool,,0,0,0,0,893308,0,0,0,0,0,0
TG,Nalgonda,,0,0,0,0,1631399,0,0,0,0,0,0
TG,Narayanpet,,0,0,0,0,566874,0,0,0,0,0,0
TG,Nirmal,,0,0,0,0,709415,0,0,0,0,0,0
TG,Nizamabad,,0,0,0,0,1534428,0,0,0,0,0,0
TG,Peddapalli,,0,0,0,0,795332,0,0,0,0,0,0
TG,Rajanna Sircilla,,0,0,0,0,546121,0,0,0,0,0,0
TG,Ranga Reddy,,0,0,0,0,2551731,0,0,0,0,0,0
TG,Sangareddy,,0,0,0,0,1527628,0,0,0,0,0,0
TG,Siddipet,,0,0,0,0,993376,0,0,0,0,0,0
TG,Suryapet,,0,0,0,0,1099560,0,0,0,0,0,0
TG,Unknown,,671463,3956,663498,4009,0,121,1,183,1189,9,1121
TG,Vikarabad,,0,0,0,0,881250,0,0,0,0,0,0
TG,Wanaparthy,,0,0,0,0,751553,0,0,0,0,0,0
TG,Warangal Rural,,0,0,0,0,716457,0,0,0,0,0,0
